Type,Level,Name,Resource,Spell Script Name,Generic Description,Identified Description
Special,0,"<No Name>","SPWI986","Spider Summon",No Description, No Description
Special,0,"<No Name>","SPWI024","Trap Guillotine",No Description, No Description
Special,0,"<No Name>","SPWI023","Trap Shadow Death",No Description, No Description
Special,0,"<No Name>","SPWI022","Trap Muck",No Description, No Description
Special,0,"<No Name>","SPWI021","Trap Hallway Spikes",No Description, No Description
Special,0,"<No Name>","SPWI013","Trap Arrow Piercing",No Description, No Description
Special,0,"<No Name>","SPWI012","Trap Arrow Ice",No Description, No Description
Special,0,"<No Name>","SPWI011","Trap Arrow Fire",No Description, No Description
Special,0,"<No Name>","SPWI010","Trap Arrow Dispelling",No Description, No Description
Special,0,"<No Name>","SPWI009","Trap Arrow Detonation",No Description, No Description
Special,0,"<No Name>","SPWI008","Trap Arrow Biting",No Description, No Description
Special,0,"<No Name>","SPWI007","Trap Arrow Acid",No Description, No Description
Special,0,"<No Name>","SPWI006","Trap Arrow Slaying",No Description, No Description
Special,0,"<No Name>","SPWI005","Trap Arrow",No Description, No Description
Special,0,"<No Name>","SPIN957","Ghoullord Fear",No Description, No Description
Special,0,"<No Name>","SPIN709","Trap Spear",No Description, No Description
Special,0,"<No Name>","SPIN708","Trap Slime",No Description, No Description
Special,0,"<No Name>","SPIN707","Trap Darts",No Description, No Description
Special,0,"<No Name>","SPIN706","Trap Vent",No Description, No Description
